"GEOID","crime_idx","spend_alc","spend_trans","biz_alc","biz_resto","biz_lib","biz_groc","biz_health","biz_hotel","biz_retail","fastfood_6mo","fastfood_freq","road_maxspeed","road_meanspeed","road_maxlength","road_minlength","road_meanlength","road_totlanes","road_maxlanes","road_iri","road_bumps","road_aadt","road_sumlength","road_pci","road_pavewidth","road_vc","road_q","pop","sqmi","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov"
"36081049700",26,603537,423655,0,1,1,0,1,1,2,1914,770,7,2.10110624,0.31000001,0.00058145,0.21500384,1.49165739,2.00000004,16.814454,5.604818,663.180675,0.64886654,71.49303412,6.09141949,NA,24.75118415,3002,0.08,"NYC",99,11,5,0,11,0,35675,1020,1834,1436,582,755,797,613,107,241,159,37.6,582,31145,527,809,0,0,137,0,151,870,482,53,73,274
"36061001800",125,2229953,1354107,1,106,11,23,9,8,255,6404,2501,25,12.03455971,0.30843899,0.00226131,0.20089427,1.60731171,5.99999979,83.70822667,12.5896371,8694.389713,2.65411868,35.758243,6.67407321,0.04579461,26.22640471,8823,0.09,"NYC",2312,461,131,1,460,1,88788.8888888889,2384,5607,3252,651,2994,2246,1706,394,519,311,37.1,1646,41354,413,2349,0,217,998,588,470,1554,1948,394,317,1936
"36047012902",111,1300853,631160,1,32,1,4,5,0,60,1575,582,30,5.40076603,0.17987881,0.00317642,0.11814637,0.66137689,2.00000166,23.36276849,4.93486049,4296.449853,1.07010725,19.81273511,3.86839778,0.12328423,25.52599999,2046,0.05,"NYC",611,140,38,0,140,0,38160,1175,733,1006,299,738,535,307,29,86,27,33.7,216,54258,72,916,10,14,39,119,8,221,558,460,44,121
"36061003800",113,4109831,1565816,4,181,11,23,11,3,295,8025,3734,25,14.70603404,0.28565959,7.9e-05,0.25140818,1.03273546,1.99861719,20.84171905,4.26635716,2491.405493,2.14405482,56.18997522,6.72539292,NA,27.73859175,9355,0.08,"NYC",907,167,74,1,165,2,105362.5,5724,2705,4559,237,4318,2202,1336,336,663,271,32.8,1254,48594,179,3252,0,202,1761,297,114,1016,2738,1814,265,1145
"36061012700",115,4262398,2063754,4,87,11,13,17,4,142,5924,2219,18,11.40454598,0.34142247,0.00603763,0.29129465,0.79032866,1.45213854,9.51085706,6.33406136,4325.754198,1.75026385,44.09612346,3.07682891,0.04180981,28.61131946,7311,0.07,"NYC",1018,131,59,0,131,0,95442.8571428571,3701,2980,2733,152,2587,2523,1328,91,648,241,40.9,776,51786,233,2373,0,198,1963,265,141,774,3075,1225,239,676
"36061012000",89,3457052,1250408,1,19,9,2,55,1,83,3076,1175,12,6.39840571,0.34578379,0.04521294,0.21722152,0.56008756,1.11871686,18.80842618,22.98881973,3056.176788,1.87057767,21.75029689,4.13829295,0.07876379,26.34242803,4012,0.07,"NYC",883,140,53,2,138,2,50057.1428571429,3081,423,2074,528,638,738,984,616,373,176,47.3,265,96701,106,565,0,0,642,275,19,231,1296,692,50,228
"36081046500",57,593723,371884,1,12,0,11,10,0,38,2923,1150,3,0.4697454,0.19006587,0.00583889,0.13865907,1.36779641,1.99999991,5.76604465,2.80781305,218.4913093,0.74906085,67.59272285,4.20103768,0.00952651,27.823624,4105,0.05,"NYC",248,45,10,0,45,0,66960,109,3239,1503,663,1237,899,392,157,247,118,31,1360,18456,303,1199,0,96,165,23,217,782,268,79,70,739
"36047079601",67,845289,622528,1,10,1,3,2,0,19,3050,1275,24,7.72877267,0.22615715,1.63e-05,0.18656884,0.54440513,0.96809149,80.83676743,9.71933414,4790.954867,0.82768034,24.91316607,3.12151685,0.25130597,28.48941014,4485,0.04,"NYC",249,76,18,1,75,1,115550,956,3666,2452,651,1666,1254,815,236,559,211,35,876,36381,284,2005,0,26,104,25,136,1554,749,383,278,684
"36047056100",79,1212766,586665,1,18,4,14,10,0,77,2954,1113,9,2.96661934,0.29369124,0.01941342,0.23273545,0.78598334,1.2876759,NA,NA,932.3904218,1.29343959,39.30844592,1.96449438,0.03222949,22.08114279,3465,0.13,"NYC",610,88,23,0,88,0,24307.6923076923,2351,809,1694,272,1443,794,522,129,177,124,33.1,381,43897,194,1454,0,127,126,89,30,501,1117,445,99,302
"36047004700",113,911833,441092,0,5,1,0,0,0,10,1038,391,45,21.88808007,0.43500598,2.39e-05,0.17851129,0.75856513,2.00000592,134.9670022,16.11578971,45056.8135,2.74595255,55.11980674,13.05091018,0.74082842,21.85415899,1531,0.1,"NYC",1061,286,6,0,286,0,16476.9230769231,1172,970,1106,542,481,836,192,91,126,38,36.3,179,71290,218,699,13,30,60,75,65,247,514,411,167,155
"36005005002",56,533965,444128,1,13,0,6,3,0,37,3556,1346,11,10.34683666,0.23890993,0.01507482,0.22561894,0.86790286,0.91888434,176.7539265,60.50256652,11089.92247,0.25395274,21.7870835,2.16975715,0.61397323,26.56829577,5851,0.04,"NYC",228,57,24,0,57,0,142175,35,5652,2869,1661,1803,1477,663,83,487,117,30,2399,17398,261,1817,0,30,280,51,187,1147,206,48,365,2482
"36081099705",9,1002288,242617,0,4,1,1,2,0,8,2081,926,50,18.69187988,0.3529287,8.05e-06,0.19356147,1.88267746,6.00000931,80.77921276,6.98207086,39259.45274,3.06076198,63.94831943,12.66165518,0.15433783,20.57842352,2697,0.19,"NYC",565,138,1,1,137,1,14688.2352941176,1455,1042,1183,508,437,706,630,216,119,115,45.1,267,58971,704,360,0,0,4,68,60,375,502,279,91,178
"36061003700",222,2087002,1012591,2,58,25,10,14,6,145,2066,763,40,12.90893186,0.36153637,0.00014815,0.22842489,1.25234557,3.99217854,63.12650226,9.14132851,13247.07184,4.99369723,52.33014117,7.27421852,0.09550054,22.68137316,2504,0.15,"NYC",1858,314,91,0,314,0,16643.75,2129,534,1403,438,603,921,442,259,173,137,41.9,375,103032,125,847,0,50,385,136,21,331,820,522,85,157
"36061011700",208,3803220,1388034,0,7,1,2,3,1,21,3857,1848,35,17.72452513,0.39336331,0.00170429,0.18752933,1.884627,3.99999945,171.5196238,16.22218654,20258.62878,1.91937999,39.60552623,9.57446233,0.1985823,18.34904359,3859,0.08,"NYC",1808,152,21,1,150,2,56485.7142857143,1957,1997,2057,488,1554,1341,557,14,504,52,33.9,954,78897,223,1606,0,118,707,101,13,563,1380,916,228,390
"36085016901",33,761752,379298,1,14,4,4,41,0,25,1986,839,50,23.75082854,0.77988319,0.001667,0.27500079,0.91479814,2.00000043,68.346993,2.58962583,47420.23707,5.77952118,71.75101062,13.30231402,0.17393191,22.81446226,2990,0.31,"NYC",1141,251,28,0,250,1,10135.4838709677,2360,782,1636,691,717,874,584,276,255,173,39.8,362,41875,852,518,0,6,37,25,115,756,439,265,112,286
"36005035000",73,417166,307230,0,6,1,1,1,0,15,1312,548,1,0.37644179,0.13309686,0.00950148,0.10406217,0.29836028,0.50225232,0.1801301,0.01595248,176.7203161,0.29536512,14.88544418,0.74590069,0.0085667,25.15553936,1976,0.07,"NYC",170,36,12,0,36,0,26385.7142857143,52,1795,1004,379,416,549,361,142,183,115,40.2,456,29425,431,335,29,0,25,83,55,674,202,66,114,258
"36047090600",166,388042,453828,0,19,6,16,10,0,72,2386,644,6,4.00765879,0.20173653,0.00337111,0.15423442,0.46333317,1.3672417,4.58448062,3.97853846,1601.467629,0.70806349,22.39556154,1.15833291,0.08920307,24.15057526,4571,0.08,"NYC",405,138,46,0,138,0,50212.5,100,3917,2273,1080,1158,926,761,92,335,165,31.1,634,22683,109,741,0,0,116,31,153,1086,149,53,183,1935
"36081152901",14,1996778,562753,1,8,4,4,9,0,23,4866,2060,50,15.66669939,0.47890705,0.00030715,0.21234632,1.14188895,5.00832156,40.92299415,2.93249657,25613.86268,6.79917464,69.08568327,7.44483767,1.47e-05,23.525398,6463,0.54,"NYC",593,139,7,1,137,2,12101.8518518519,2423,4112,3630,1073,1300,1900,1724,538,416,360,44.9,885,55096,2210,722,0,0,6,253,131,1695,1234,776,270,666
"36047051002",62,650600,559079,1,12,2,5,6,0,50,2965,1134,6,5.49295743,0.19713277,0.002102,0.17602405,0.56278981,0.72442619,56.48160063,48.71160792,4006.226596,0.35558434,10.39390053,3.21354396,0.14766866,28.11412452,4621,0.04,"NYC",383,127,44,0,126,1,121025,526,4315,2326,1038,1407,1266,884,246,555,179,34.7,934,29605,250,1922,0,60,85,58,185,1462,644,233,285,815
"36047115000",120,340030,292662,0,2,5,2,0,1,11,1655,631,3,1.07935022,0.26588498,0.04974507,0.21613797,0.30053739,0.45450424,NA,NA,296.3057959,0.88360142,15.56202664,0.83161703,0.01763089,24.95919875,2840,0.06,"NYC",293,127,15,0,127,0,46600,36,2760,1344,831,774,789,350,52,238,90,27.5,488,29853,439,712,0,0,20,30,137,788,81,64,90,820
"36005046201",56,5681699,1279245,2,35,15,12,28,1,157,21429,11054,50,28.41846729,0.79999998,0.00057838,0.30906408,1.41877437,5.45273748,77.18465437,15.71294044,29889.0863,13.07842103,74.80427226,13.30462896,0.07495429,21.5493316,27241,0.79,"NYC",1902,509,111,1,507,2,36570,2505,26751,16059,4316,5743,7325,8597,3275,3909,2711,48.5,1828,37165,4372,7653,0,0,668,106,829,10011,3367,1969,1261,1986
"36005027900",48,1487039,751258,0,6,3,3,5,1,15,5259,2107,25,9.05841354,0.47222711,0.00080127,0.26653203,0.83321541,2.00000087,NA,0,1522.264633,1.32121823,41.66077064,2.08303853,0.07830379,26.82021931,6907,0.1,"NYC",276,74,19,0,74,0,70120,1166,5846,3254,1210,1832,1767,1691,512,736,382,38.8,867,33474,813,2518,0,22,198,148,450,1687,1013,498,376,787
"36047118000",337,0,0,0,0,7,0,0,0,0,0,0,25,22.05443713,0.7357649,0.00011274,0.54588009,1.74336775,1.99357903,263.6144652,80.05695972,11605.63594,1.50810844,43.94873073,4.35843945,0.6264726,27.11727725,6,0.32,"NYC",317,132,11,0,132,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"36061008601",67,2745259,1139854,0,2,1,0,17,0,9,2617,1145,40,11.07462672,0.27760124,0.00082576,0.18014747,1.7911342,6.00001053,77.43022771,11.0119701,36492.67093,2.02358164,41.72970931,11.36985597,0.01280545,20.09886092,2622,0.04,"NYC",952,229,28,0,229,0,56560,1966,862,1289,320,1166,742,553,47,128,96,33.9,394,89655,199,869,0,14,830,95,10,211,1002,500,37,139
"36005038800",74,460248,338959,0,1,0,0,1,0,4,1847,772,7,7,0.2048881,0.2048881,0.2048881,0.46042269,0.46042269,NA,0,1742.930088,0.20493987,20.02838696,1.15105672,NA,26.89881723,2724,0.06,"NYC",97,41,8,0,41,0,42533.3333333333,4,2548,1541,628,522,768,507,127,295,174,37.5,322,33068,428,515,0,0,58,31,77,913,213,114,266,527
"36047038700",105,725380,534219,1,8,2,3,6,0,20,2836,1186,7,3.2927882,0.32957631,0.09927771,0.27122878,0.3048928,0.44116474,NA,0.07706472,793.5159895,1.22896306,15.20867651,0.99292304,0.01664504,25.39723397,3980,0.07,"NYC",378,111,22,1,110,1,62100,480,3867,2176,1052,1249,1152,702,192,349,227,32.9,417,31396,226,1099,0,56,89,128,77,1049,481,213,259,1401
"36047031701",103,629913,463911,1,21,4,7,5,0,44,2470,1033,8,5.73996415,0.18450987,0.0875916,0.15321862,0.43506727,0.61503292,62.67753043,6.66339194,2552.881124,0.2726012,13.00766176,2.12882317,0.12843787,27.66048535,3523,0.05,"NYC",229,64,16,0,64,0,69820,952,2539,1772,573,1387,929,549,53,343,126,31.1,388,36647,240,1490,0,34,223,92,74,842,822,323,203,661
"36061006600",75,6450405,3700203,2,36,7,8,13,1,72,9337,3403,11,5.89922602,0.27880628,0.00352928,0.2128618,0.75404841,1.83972148,31.2214785,5.42660741,4000.584193,1.37283678,27.35944993,6.88119404,NA,26.71540386,11823,0.07,"NYC",735,184,68,2,182,2,164942.857142857,6285,5261,6075,1548,3953,2721,2753,571,592,279,36.8,610,70763,202,3774,0,190,2282,445,595,1838,3263,1565,196,1623
"36081046700",23,897370,601707,0,0,1,0,4,0,6,4907,1951,25,5.02997569,0.17735459,0.00022501,0.12130881,1.40994156,2.00000006,NA,0,NA,0.86743032,70.49707809,3.8837275,NA,27.24653227,7392,0.05,"NYC",232,65,23,0,65,0,135300,231,6534,3542,1885,1746,1816,1027,291,551,213,32.3,2464,21865,642,1986,0,0,266,0,525,1688,561,86,165,2276
"36005001900",162,193103,156449,1,17,1,9,7,1,61,1136,377,50,20.42077547,0.53000001,0.00091746,0.2015,1.12866484,2.00000591,130.4251947,11.96732782,28979.61017,13.14755778,69.06406374,14.34013943,0.14410345,19.72295623,1889,0.65,"NYC",2873,715,46,1,714,1,4257.14285714286,195,2487,1394,639,875,850,298,20,271,42,32.5,339,31031,272,732,0,16,60,50,107,772,247,106,234,911
"36081018300",42,1827023,884150,1,31,4,20,12,0,71,4598,1728,5,3.14982481,0.17262691,0.12023508,0.14793174,0.47037057,0.90854661,13.64451796,3.33729857,1555.418396,1.02239607,16.27525029,1.68713439,0.01540852,27.60031393,6311,0.08,"NYC",524,151,45,1,149,2,80937.5,2648,3827,3213,1334,1582,1996,1363,200,506,187,37.2,1651,43348,409,2617,11,71,203,110,517,1340,1520,574,208,1124
"36047020100",71,1842646,892112,0,17,1,5,5,0,32,2905,1088,10,2.81179757,0.24358353,0.00320149,0.17264772,0.44427145,1.0004398,0.02493696,3.88136122,972.4525702,0.6909056,22.07962194,1.57007836,0.05436847,28.7925619,3588,0.07,"NYC",535,143,34,0,143,0,54685.7142857143,1773,2055,2006,610,1483,1103,581,51,202,70,32.7,214,52538,242,1788,37,129,113,210,77,519,1330,638,199,236
"36005017701",86,324929,380015,1,7,1,2,3,0,20,2310,624,3,0.91624406,0.23916429,0.00376081,0.1407994,0.70553702,2.00000088,2.79968223,1.01396273,383.748407,0.88855641,35.44956472,1.847572,0.00984723,25.81493272,4486,0.04,"NYC",224,81,23,0,81,0,130700,54,5174,2738,1919,1360,983,758,208,678,193,27.8,1129,18571,516,923,0,18,185,0,292,996,361,98,295,2294
